"COU","POL","VAR","YEA","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"AUS","GHG","TOTAL","1990","T_CO2_EQVT","3",,420315.323,
"AUS","GHG","TOTAL","1991","T_CO2_EQVT","3",,421381.463,
"AUS","GHG","TOTAL","1992","T_CO2_EQVT","3",,425702.483,
"AUS","GHG","TOTAL","1993","T_CO2_EQVT","3",,426232.23,
"AUS","GHG","TOTAL","1994","T_CO2_EQVT","3",,426304.968,
"AUS","GHG","TOTAL","1995","T_CO2_EQVT","3",,434912.951,
"AUS","GHG","TOTAL","1996","T_CO2_EQVT","3",,442506.139,
"AUS","GHG","TOTAL","1997","T_CO2_EQVT","3",,454629.299,
"AUS","GHG","TOTAL","1998","T_CO2_EQVT","3",,468405.894,
"AUS","GHG","TOTAL","1999","T_CO2_EQVT","3",,474027.428,
"AUS","GHG","TOTAL","2000","T_CO2_EQVT","3",,485018.616,
"AUS","GHG","TOTAL","2001","T_CO2_EQVT","3",,492461.681,
"AUS","GHG","TOTAL","2002","T_CO2_EQVT","3",,496318.641,
"AUS","GHG","TOTAL","2003","T_CO2_EQVT","3",,498118.962,
"AUS","GHG","TOTAL","2004","T_CO2_EQVT","3",,515931.287,
"AUS","GHG","TOTAL","2005","T_CO2_EQVT","3",,521801.01,
"AUS","GHG","TOTAL","2006","T_CO2_EQVT","3",,526437.29,
"AUS","GHG","TOTAL","2007","T_CO2_EQVT","3",,533138.415,
"AUS","GHG","TOTAL","2008","T_CO2_EQVT","3",,537031.992,
"AUS","GHG","TOTAL","2009","T_CO2_EQVT","3",,540913.37,
"AUS","GHG","TOTAL","2010","T_CO2_EQVT","3",,537275.249,
"AUS","GHG","TOTAL","2011","T_CO2_EQVT","3",,538280.611,
"AUS","GHG","TOTAL","2012","T_CO2_EQVT","3",,540615.865,
"AUS","GHG","TOTAL","2013","T_CO2_EQVT","3",,530433.519,
"AUS","GHG","TOTAL","2014","T_CO2_EQVT","3",,524957.101,
"AUS","GHG","TOTAL","2015","T_CO2_EQVT","3",,535173.674,
"AUS","GHG","TOTAL","2016","T_CO2_EQVT","3",,546771.76,
"AUS","GHG","TOTAL","2017","T_CO2_EQVT","3",,554126.561,
"AUS","GHG","INDEX_1990","1990","IDX","0",,100,
"AUS","GHG","INDEX_1990","1991","IDX","0",,100.254,
"AUS","GHG","INDEX_1990","1992","IDX","0",,101.282,
"AUS","GHG","INDEX_1990","1993","IDX","0",,101.408,
"AUS","GHG","INDEX_1990","1994","IDX","0",,101.425,
"AUS","GHG","INDEX_1990","1995","IDX","0",,103.473,
"AUS","GHG","INDEX_1990","1996","IDX","0",,105.28,
"AUS","GHG","INDEX_1990","1997","IDX","0",,108.164,
"AUS","GHG","INDEX_1990","1998","IDX","0",,111.442,
